rule_id,rule_number,sub_rule,requirement_name,field_name,requirement_description,package_type,product_category,imported_only,applicability_condition,exemption_condition,validation_type,expected_value,unit_or_format,visual_check_required,ocr_check_required,severity,effective_from,effective_until,legal_source,source_document,implementation_priority,prototype_supported,notes
LM-R6-001,6,1(a),Manufacturer name declared,manufacturer_name,"Every package shall bear the name of the manufacturer (or, where the manufacturer is not the packer, the name of the manufacturer and packer).",retail,general,false,Applies to all retail packages under Chapter II (see LM-R3-001 for Chapter II scope exclusions).,Packages containing food articles: PFA Act 1954 governs instead per Rule 6(1) Explanation III.,presence,Non-empty text identifiable as manufacturer name,Free text,false,true,HIGH,2011-04-01,,Rule 6(1)(a),"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P0,true,"If no qualifying words 'manufactured by'/'packed by' appear, Rule 6(1)(a) Explanation I presumes the name/address is the manufacturer's."
LM-R6-005,6,1(b),Common or generic name of commodity declared,commodity_name,"The common or generic name of the commodity in the package shall be mentioned; for multi-product packages, the name and number/quantity of each product shall be mentioned.",retail,general,false,,,presence,Non-empty generic commodity name text,Free text,false,true,HIGH,2011-04-01,,Rule 6(1)(b),"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P0,true,
LM-R6-006,6,1(c),Net quantity declared,net_quantity,"The net quantity of the commodity, in terms of the standard unit of weight/measure, or the number of commodity units, shall be mentioned on the package.",retail,general,false,,,"presence, numeric_value, unit_check",Numeric value with a valid unit (see Rule 12/13),"g, kg, ml, l, cm, m, sq. m, or count (N/U) per Rule 12(2)/13",false,true,HIGH,2011-04-01,,Rule 6(1)(c); Rule 12; Rule 13,"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P0,true,
LM-R6-007,6,1(d),Month and year of manufacture/pre-packing/import declared,month_year,"The month and year in which the commodity is manufactured, pre-packed or imported shall be mentioned on the package, expressed in words, numerals, or both.",retail,general,false,,Not required on: (i) bidi/incense-stick packages; (ii) domestic LPG cylinders of 14.2kg/5kg bottled/marketed by a public sector undertaking (Rule 6(1)(g) proviso A). Not required for food packages where 'best before/use before' is 90 days or less from manufacture (Rule 6(1)(g) proviso B second proviso). Not required for certified Seeds Act packages. Food articles generally follow PFA Act 1954 instead.,"presence, date_check",Month/Year in a recognizable date format,MM/YYYY or Month-YYYY (words or numerals),false,true,HIGH,2011-04-01,,Rule 6(1)(d); Explanation I,"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P0,true,A rubber-stamp-without-overwriting proviso to Rule 6(1)(d) stood withdrawn wef 2012-07-01 vide GSR 748(E) dated 24.10.2011 -- not applicable as of the current date.
LM-R6-008,6,1(e),Retail sale price (MRP) declared,mrp,"The retail sale price of the package shall be declared in the form 'Maximum or Max. retail price Rs/... inclusive of all taxes' or 'MRP Rs/... incl. of all taxes', with paisa rounding rules applied.",retail,general,false,,"Not required on bidi packages, or domestic LPG cylinders priced under the Government's Administrative Price Mechanism (Rule 6(1)(g) proviso C). Alcoholic beverages/spirituous liquor: State Excise laws apply unless those laws are silent on MRP declaration, in which case these Rules apply.","presence, regex_format, numeric_value","Rupee amount preceded by 'MRP' or 'Maximum/Max. retail price', with an 'inclusive of all taxes' qualifier",MRP Rs.<amount> incl. of all taxes,false,true,HIGH,2011-04-01,,Rule 2(m); Rule 6(1)(e),"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P0,true,
LM-R6-010,6,2,Consumer-care details declared,consumer_care,"Every package shall bear the name, address, telephone number, and e-mail address (if available) of the person/office that can be contacted for consumer complaints.",retail,general,false,,,"presence, regex_format",Contact name/address and a valid phone number; email if declared,Free text; phone number regex; email regex,false,true,HIGH,2011-04-01,,Rule 6(2),"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P0,true,E-mail address is only mandatory 'if available' -- absence of email alone should not be scored as a violation; REVIEW_REQUIRED on how to interpret 'if available' automatically.
LM-R13-001,13,"2, 3",Correct sub-unit/multiple used per declared quantity magnitude,net_quantity_unit_scale,Quantities below 1kg/1m/1sq.m/1 cubic decimetre/1 litre must use gram/centimetre/square decimetre/cubic centimetre/millilitre respectively; quantities at or above those thresholds must use the base unit (kg/m/sq.m/cubic m/litre) with decimal fractions.,retail,general,false,,Exact 1kg/1m/1sq.m/1 cubic decimetre/1 cubic metre/1 litre quantities may optionally use the smaller unit (Rule 13(3) proviso).,unit_check,Unit consistent with the magnitude thresholds in Rule 13(2)/(3),"g/kg, cm/m, ml/l, cubic cm/cubic m, sq. decimetre/sq. m",false,true,MEDIUM,2011-04-01,,Rule 13(2); Rule 13(3),"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P1,true,
LM-R26-001,26,(a),Exemption for very small net-weight/volume packages,applicability_small_package,"These rules do not apply to a package if the net weight/measure of the commodity is 10g or 10ml or less (sold by weight/measure). This exemption does NOT apply to (i) tobacco and tobacco products, and (ii) pan masala.",retail,general,false,"Declared net quantity <= 10g or <= 10ml, AND commodity is not tobacco/tobacco products and not pan masala.","Full exemption for packages <=10g/10ml, EXCEPT tobacco and tobacco products (carve-out proviso in force since 2015-05-14 per G.S.R. 385(E)) and EXCEPT pan masala (carve-out proviso in force since 2026-02-01 per G.S.R. 881(E) dated 2025-12-02).","conditional_presence, numeric_value, text_match","If net_quantity <= 10g/10ml AND commodity is not tobacco/tobacco-product/pan masala, other declaration rules are not applicable; if commodity IS tobacco/tobacco product or pan masala, the small-pack exemption does NOT apply regardless of quantity and full declarations are required.","g, ml",false,true,MEDIUM,2026-02-01,,"Rule 26(a), as amended (base clause; first proviso; second proviso)",Exemption from LM Rules for Small Packs Not Applicable to Pan Masala.md,P1,true,"AMENDMENT HISTORY for Rule 26(a): (1) Base exemption in force since 2011-04-01. (2) A proviso requiring MRP and net-quantity declarations on packages of 10-20g/10-20ml stood withdrawn wef 2012-07-01 vide GSR 748(E) dated 24.10.2011 (per the base 2011 Rules document; no longer relevant to current wording). (3) First proviso excluding tobacco and tobacco products from this exemption was inserted vide G.S.R. 385(E) dated 14.05.2015 -- this GSR notification itself was not separately uploaded; its text is known only via citation/quotation inside the uploaded 'Exemption from LM Rules for Small Packs Not Applicable to Pan Masala.md' document, which is treated here as the traceable source for that citation. (4) Second proviso excluding pan masala was inserted by the Legal Metrology (Packaged Commodities) Second (Amendment) Rules, 2025 vide G.S.R. 881(E) dated 02.12.2025, commencing 2026-02-01 -- this document was directly uploaded and is the source_document for the currently applicable wording. STATUS as of 2026-08-29: currently effective (not future-dated, not superseded, not deleted). This row was flagged and corrected during the 2026-08-29 amendment-verification pass; the previously generated version of this row did not reflect the tobacco (2015) or pan masala (2026) carve-outs."
LM-R7-001,7,"2, Table-I",Minimum numeral height for net quantity in weight/volume,net_quantity_font_height,The height of numerals in the declaration on the principal display panel shall meet minimum heights per Table-I when net quantity is declared by weight or volume: up to 200g/ml -> 1mm (2mm if blown/molded/embossed/perforated); above 200 up to 500g/ml -> 2mm (4mm); above 500g/ml -> 4mm (6mm).,retail,general,false,Net quantity declared by weight or volume.,Sub-rules (1)-(3) do not apply if the same information is already required to be given under any other law in force (Rule 7(4)).,font_height,"1mm / 2mm / 4mm minimum (2mm/4mm/6mm if blown, formed, molded, embossed or perforated) depending on declared net quantity band","millimetres, measured via calibrated pixel-to-mm scale",true,true,MEDIUM,2011-04-01,,Rule 7(2); Table-I,"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P1,true,Requires a physical reference marker (e.g. ArUco) in the photo to convert pixel height to millimetres; net-quantity band must first be extracted (LM-R6-006) to select the correct threshold.
LM-R9-002,9,1(b),MRP and net-quantity numerals in contrasting colour,mrp_netqty_contrast,Numerals of the retail sale price and net-quantity declaration shall be printed/painted/inscribed in a colour that contrasts conspicuously with the label background.,retail,general,false,,"Not required where the information is blown, formed or molded on a glass/plastic surface (Rule 9(1) proviso a).",contrast_readability,Measured contrast ratio above an implementation-defined threshold,,true,false,LOW,2011-04-01,,Rule 9(1)(b),"The Legal Metrology (Packaged Commodities) Rules, 2011.md",P1,true,
